location_id,lat,lon,traffic_volume,traffic_source,distance_to_nearest_substation_m,charger_count_nearby,road_density,ev_penetration_proxy
185,53.345899,-6.255148,965.71,DCC_2024_2025,42.2,1,255,0.049
187,53.309842,-6.283565,1011.12,DCC_2024_2025,40.7,0,25,0.049
188,53.34579,-6.25212,245.75,DCC_2024_2025,56.4,1,249,0.049
189,53.334039,-6.328555,1057.33,DCC_2024_2025,31.6,0,27,0.049
190,53.347007,-6.283929,1918.64,DCC_2024_2025,48.6,1,120,0.049
191,53.342005,-6.250589,61.48,DCC_2024_2025,89.7,1,151,0.049
192,53.337605,-6.265789,1359.25,DCC_2024_2025,50.4,2,99,0.049
193,53.345256,-6.272135,1533.26,DCC_2024_2025,101.8,1,139,0.049
194,53.359856,-6.239743,677.9,DCC_2024_2025,100.9,0,56,0.049
196,53.346838,-6.258914,951.14,DCC_2024_2025,31.3,0,180,0.049
197,53.347581,-6.259277,999.03,DCC_2024_2025,32.8,0,168,0.049
198,53.348388,-6.259644,981.27,DCC_2024_2025,32.0,0,194,0.049
199,53.349798,-6.260259,363.31,DCC_2024_2025,66.4,1,177,0.049
200,53.351948,-6.26108,384.04,DCC_2024_2025,85.1,1,130,0.049
201,53.352571,-6.261489,841.26,DCC_2024_2025,96.0,1,138,0.049
202,53.351827,-6.262916,859.46,DCC_2024_2025,45.2,1,146,0.049
203,53.352744,-6.248907,313.37,DCC_2024_2025,53.8,0,96,0.049
205,53.339733,-6.265841,0.01,DCC_2024_2025,82.4,1,126,0.049
207,53.359325,-6.245566,350.85,DCC_2024_2025,95.2,0,49,0.049
208,53.358198,-6.247449,268.21,DCC_2024_2025,63.6,0,50,0.049
209,53.342807,-6.360573,796.56,DCC_2024_2025,102.4,0,9,0.049
210,53.342555,-6.357622,0.0,DCC_2024_2025,58.9,0,10,0.049
213,53.390284,-6.287412,550.53,DCC_2024_2025,167.6,0,5,0.049
214,53.389925,-6.270197,359.9,DCC_2024_2025,64.2,0,30,0.049
215,53.379911,-6.265896,671.64,DCC_2024_2025,169.9,0,42,0.049
216,53.36861,-6.269773,562.31,DCC_2024_2025,93.8,1,60,0.049
218,53.341763,-6.227736,0.0,DCC_2024_2025,71.3,2,33,0.049
219,53.388348,-6.265378,21.28,DCC_2024_2025,136.0,0,44,0.049
223,53.360883,-6.182289,912.58,DCC_2024_2025,66.1,1,2,0.049
224,53.358638,-6.189651,306.07,DCC_2024_2025,256.6,1,3,0.049
226,53.344312,-6.25978,1045.27,DCC_2024_2025,66.1,0,162,0.049
229,53.345114,-6.25894,711.68,DCC_2024_2025,86.9,0,166,0.049
230,53.345087,-6.258871,305.48,DCC_2024_2025,85.5,0,167,0.049
232,53.345757,-6.257148,691.72,DCC_2024_2025,35.0,1,197,0.049
233,53.388311,-6.260959,0.0,DCC_2024_2025,73.9,0,45,0.049
236,53.338205,-6.281362,0.0,DCC_2024_2025,97.3,0,73,0.049
238,53.329718,-6.299595,1.07,DCC_2024_2025,78.6,1,44,0.049
243,53.32151,-6.235157,0.0,DCC_2024_2025,57.9,1,35,0.049
248,53.36281,-6.239704,647.51,DCC_2024_2025,151.5,0,47,0.049
249,53.370822,-6.280147,803.96,DCC_2024_2025,112.4,1,18,0.049
254,53.340128,-6.241537,725.09,DCC_2024_2025,7.9,1,89,0.049
257,53.335421,-6.263298,140.66,DCC_2024_2025,42.6,2,90,0.049
258,53.328659,-6.276215,0.0,DCC_2024_2025,84.6,0,32,0.049
260,53.336127,-6.269057,0.0,DCC_2024_2025,94.9,1,98,0.049
261,53.371034,-6.205228,691.78,DCC_2024_2025,45.1,1,32,0.049
